all,quarter,industry_section_code,industry_section,industry_division,number_of_persons_engaged_total,number_of_persons_engaged_male,number_of_persons_engaged_female,number_of_vacancies,number_of_establishments
All,2000 Q2,K,Financing and insurance,Services auxiliary to financial and insurance services,41393,20852,20541,1346,8780
All,2000 Q2,L,Real estate,Real estate,86767,59881,26886,2052,11832
All,2000 Q2,M,"Professional, scientific and technical services",Legal and accounting services,32719,14947,17772,511,4593
All,2000 Q2,M,"Professional, scientific and technical services",Activities of head offices; management and management consultancy services,17945,8824,9121,276,3208
All,2000 Q2,M,"Professional, scientific and technical services","Architecture and engineering services, technical testing and analysis",26514,18301,8213,430,2419
All,2000 Q2,M,"Professional, scientific and technical services",Scientific research and development,180,105,75,1,33
All,2000 Q2,M,"Professional, scientific and technical services",Advertising and market research,14913,7938,6975,318,2949
All,2000 Q2,M,"Professional, scientific and technical services","Veterinary services; Other professional, scientific and technical services",16703,10223,6480,489,4872
All,2000 Q2,N,Administrative and support services,Rental and leasing services,2139,1346,793,4,487
All,2000 Q2,N,Administrative and support services,Employment services,4755,1621,3134,73,1064
All,2000 Q2,N,Administrative and support services,"Travel agency, reservation service and related services",20515,8855,11660,258,2220
All,2000 Q2,N,Administrative and support services,Security and investigation services,32462,27719,4743,659,230
All,2000 Q2,N,Administrative and support services,Services to buildings and landscape care,41144,14449,26695,448,1106
All,2000 Q2,N,Administrative and support services,"Office administrative, office support and other business support services",20148,11022,9126,687,4345
All,2000 Q2,P,Education,Education,114322,43321,71001,698,3389
All,2000 Q2,Q,Human health and social work services,Human health services,67484,17772,49712,2164,4324
All,2000 Q2,Q,Human health and social work services,Residential care services,13827,1975,11852,570,789
All,2000 Q2,Q,Human health and social work services,Social work services,15805,2642,13163,71,1052
All,2000 Q2,R,"Arts, entertainment and recreation",Creative and performing arts activities,2285,1339,946,23,415
All,2000 Q2,R,"Arts, entertainment and recreation","Libraries, archives, museums and other cultural activities",309,106,203,6,54
All,2000 Q2,R,"Arts, entertainment and recreation",Amusement parks and theme parks,0,0,0,0,0
All,2000 Q2,R,"Arts, entertainment and recreation",Sports and other entertainment services,0,0,0,0,0
All,2000 Q2,S,Other services,Activities of membership organisations,9568,4517,5051,304,988
All,2000 Q2,S,Other services,"Repair of motor vehicles, motorcycles, computers, personal and household goods",18360,15382,2978,216,5317
All,2000 Q2,S,Other services,Other personal services,30373,14268,16105,645,6973
